64;190.333;25.6667
128;271.667;109.333
256;605.333;433.333
512;1939.33;1766
1024;7530;7124
2048;28914.3;28671.3
4096;114381;121206
8192;455798;481063
16384;1.90568e+06;1.90915e+06
